Source_IP,Destination_IP,Source_Port,Destination_Port,Protocol,Packet_Size,Inter_Arrival_Time,Flow_Duration,Throughput,Jitter,Label
223.249.153.29,166.180.92.19,63071,173,UDP,1128,0.025687,25.26,44.66,4.83,ICMP
99.109.173.15,216.228.166.205,19257,280,UDP,780,0.030163,21.23,36.74,2.61,DDoS
204.138.167.219,83.105.81.93,65203,240,UDP,1258,0.068951,9.05,139.01,3.79,Normal
185.100.3.211,185.129.172.166,8979,337,TCP,491,0.054298,21.46,22.88,8.89,ICMP
62.55.188.53,239.84.239.238,11426,331,ICMP,713,0.064939,7.34,97.14,9.76,HTTP
217.109.223.108,74.251.73.213,30521,305,TCP,990,0.023621,0.85,1164.71,1.04,Normal
156.63.4.199,180.18.189.172,10382,182,ICMP,703,0.067405,19.88,35.36,0.17,HTTP
206.175.147.77,169.180.18.43,42781,145,TCP,696,0.038933,7.02,99.15,6.88,DDoS
148.97.18.158,228.200.221.131,14689,290,UDP,1170,0.040335,26.46,44.22,1.98,FTP
92.244.87.136,187.120.112.51,11385,95,UDP,1162,0.013188,2.12,548.11,8.74,FTP
94.94.135.105,86.13.250.188,15356,393,UDP,658,0.044581,19.13,34.4,8.18,FTP
58.97.156.141,237.68.19.114,43950,254,ICMP,376,0.040779,0.33,1139.39,6.57,FTP
38.173.165.126,224.44.51.57,13273,340,TCP,360,0.066614,23.93,15.04,8.51,FTP
151.112.67.128,218.166.128.181,2291,283,ICMP,1206,0.070989,29.81,40.46,2.21,FTP
144.13.70.229,90.22.75.63,40344,191,UDP,258,0.047045,23.75,10.86,8.95,HTTP
166.219.229.71,216.6.127.233,17657,205,UDP,496,0.024162,21.78,22.77,9.05,FTP
216.113.182.16,174.211.94.61,2252,426,ICMP,142,0.070661,3.07,46.25,0.97,FTP
22.220.31.149,195.18.177.13,61508,392,ICMP,1368,0.077162,6.83,200.29,5.26,HTTP
75.189.109.201,79.176.131.232,46868,301,ICMP,851,0.090395,15.32,55.55,2.64,HTTP
205.162.158.110,143.233.252.245,6536,193,ICMP,414,0.045006,15.83,26.15,9.84,DDoS
121.128.199.25,229.110.120.84,49477,94,TCP,1076,0.053615,6.22,172.99,4.07,FTP
196.247.219.198,34.122.65.156,27153,365,ICMP,1191,0.003747,13.11,90.85,9.57,Normal
239.128.54.255,67.152.94.78,60839,162,TCP,614,0.024452,26.14,23.49,5.91,DDoS
176.121.221.27,66.201.67.115,48314,51,ICMP,330,0.018862,17.65,18.7,9.83,FTP
227.186.123.82,136.120.215.221,14582,33,TCP,374,0.095055,27.89,13.41,4.79,Normal
159.251.28.168,181.54.73.87,25915,140,UDP,1367,0.080202,9.04,151.22,5.94,HTTP
137.188.108.2,16.163.223.22,59058,415,TCP,938,0.093984,13.45,69.74,5.6,DDoS
39.223.215.130,229.68.119.13,1176,248,ICMP,764,0.035919,9.87,77.41,9.32,DDoS
192.39.26.167,174.81.196.236,18442,24,ICMP,438,0.004775,19.55,22.4,6.27,DDoS
40.49.30.146,186.39.4.212,18120,410,UDP,274,0.095615,14.42,19.0,7.07,HTTP
115.110.77.179,50.132.103.174,39999,211,TCP,354,0.018021,12.77,27.72,3.52,HTTP
174.5.46.197,91.222.196.132,22574,93,TCP,488,0.098211,6.0,81.33,1.91,DDoS
